"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 13:25:17 EEST 2024","Tue May 21 13:25:17 EEST 2024","159","","com.ipwa.kp.api.StudentControllerTest","","com.ipwa.kp.api.StudentControllerTest","updateStudentLastName","updateStudentLastName()",""
"passed","Tue May 21 13:25:14 EEST 2024","Tue May 21 13:25:16 EEST 2024","2118","","com.ipwa.kp.api.StudentControllerTest","","com.ipwa.kp.api.StudentControllerTest","getAllStudents","getAllStudents()",""
"passed","Tue May 21 13:23:59 EEST 2024","Tue May 21 13:23:59 EEST 2024","235","","com.ipwa.kp.e2e.webtesting.StudentTest","","com.ipwa.kp.e2e.webtesting.StudentTest","loginAsStudent","loginAsStudent()",""
"passed","Tue May 21 13:23:59 EEST 2024","Tue May 21 13:24:00 EEST 2024","755","","com.ipwa.kp.e2e.webtesting.StudentTest","","com.ipwa.kp.e2e.webtesting.StudentTest","editStudentName","editStudentName()",""
"passed","Tue May 21 13:26:18 EEST 2024","Tue May 21 13:26:19 EEST 2024","133","","com.ipwa.kp.api.CoordinatorControllerTest","","com.ipwa.kp.api.CoordinatorControllerTest","getCoordinatorByNonExistentIdNotFound404","getCoordinatorByNonExistentIdNotFound404()",""
"passed","Tue May 21 13:24:31 EEST 2024","Tue May 21 13:24:32 EEST 2024","97","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","createNewGroup","createNewGroup()",""
"passed","Tue May 21 13:24:31 EEST 2024","Tue May 21 13:24:31 EEST 2024","130","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","createNewCompany","createNewCompany()",""
"passed","Tue May 21 13:24:30 EEST 2024","Tue May 21 13:24:30 EEST 2024","23","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","openWebPage","openWebPage()",""
"passed","Tue May 21 13:25:02 EEST 2024","Tue May 21 13:25:03 EEST 2024","158","","com.ipwa.kp.api.TeacherControllerTest","","com.ipwa.kp.api.TeacherControllerTest","getOneTeacherById1","getOneTeacherById1()",""
"passed","Tue May 21 13:24:30 EEST 2024","Tue May 21 13:24:31 EEST 2024","237","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","loginAsCoordinator","loginAsCoordinator()",""
"passed","Tue May 21 13:24:31 EEST 2024","Tue May 21 13:24:31 EEST 2024","114","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","createNewTeacher","createNewTeacher()",""
"passed","Tue May 21 13:26:33 EEST 2024","Tue May 21 13:26:33 EEST 2024","180","","com.ipwa.kp.api.CompanyControllerTest","","com.ipwa.kp.api.CompanyControllerTest","updateCompanyName","updateCompanyName()",""
"passed","Tue May 21 13:24:31 EEST 2024","Tue May 21 13:24:31 EEST 2024","134","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","createNewStudent","createNewStudent()",""
"passed","Tue May 21 13:25:03 EEST 2024","Tue May 21 13:25:03 EEST 2024","122","","com.ipwa.kp.api.TeacherControllerTest","","com.ipwa.kp.api.TeacherControllerTest","deleteTeacherByIdStatusOk","deleteTeacherByIdStatusOk()",""
"passed","Tue May 21 13:26:33 EEST 2024","Tue May 21 13:26:33 EEST 2024","126","","com.ipwa.kp.api.CompanyControllerTest","","com.ipwa.kp.api.CompanyControllerTest","deleteCompanyByIdStatusOk","deleteCompanyByIdStatusOk()",""
"passed","Tue May 21 13:25:00 EEST 2024","Tue May 21 13:25:02 EEST 2024","2144","","com.ipwa.kp.api.TeacherControllerTest","","com.ipwa.kp.api.TeacherControllerTest","getAllTeachers","getAllTeachers()",""
"passed","Tue May 21 13:23:50 EEST 2024","Tue May 21 13:23:50 EEST 2024","24","","com.ipwa.kp.e2e.webtesting.LoginTest","","com.ipwa.kp.e2e.webtesting.LoginTest","openWebPage","openWebPage()",""
"passed","Tue May 21 13:26:16 EEST 2024","Tue May 21 13:26:18 EEST 2024","2112","","com.ipwa.kp.api.CoordinatorControllerTest","","com.ipwa.kp.api.CoordinatorControllerTest","getOneCoordinatorById1","getOneCoordinatorById1()",""
"broken","Tue May 21 13:25:28 EEST 2024","Tue May 21 13:25:30 EEST 2024","1980","","com.ipwa.kp.api.PostControllerTest","","com.ipwa.kp.api.PostControllerTest","createPost","createPost()",""
"passed","Tue May 21 13:26:32 EEST 2024","Tue May 21 13:26:33 EEST 2024","143","","com.ipwa.kp.api.CompanyControllerTest","","com.ipwa.kp.api.CompanyControllerTest","getOneCompanyById1","getOneCompanyById1()",""
"passed","Tue May 21 13:25:03 EEST 2024","Tue May 21 13:25:03 EEST 2024","129","","com.ipwa.kp.api.TeacherControllerTest","","com.ipwa.kp.api.TeacherControllerTest","getTeacherByNonExistentIdNotFound404","getTeacherByNonExistentIdNotFound404()",""
"passed","Tue May 21 13:24:31 EEST 2024","Tue May 21 13:24:31 EEST 2024","73","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","openGroupManagement","openGroupManagement()",""
"passed","Tue May 21 13:25:17 EEST 2024","Tue May 21 13:25:17 EEST 2024","141","","com.ipwa.kp.api.StudentControllerTest","","com.ipwa.kp.api.StudentControllerTest","getOneStudentById1","getOneStudentById1()",""
"passed","Tue May 21 13:24:22 EEST 2024","Tue May 21 13:24:22 EEST 2024","25","","com.ipwa.kp.e2e.webtesting.TeacherTest","","com.ipwa.kp.e2e.webtesting.TeacherTest","openWebPage","openWebPage()",""
"passed","Tue May 21 13:24:31 EEST 2024","Tue May 21 13:24:31 EEST 2024","59","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","openCompanyProfileManagement","openCompanyProfileManagement()",""
"passed","Tue May 21 13:25:17 EEST 2024","Tue May 21 13:25:17 EEST 2024","128","","com.ipwa.kp.api.StudentControllerTest","","com.ipwa.kp.api.StudentControllerTest","getStudentByNonExistentIdNotFound404","getStudentByNonExistentIdNotFound404()",""
"passed","Tue May 21 13:24:22 EEST 2024","Tue May 21 13:24:23 EEST 2024","738","","com.ipwa.kp.e2e.webtesting.TeacherTest","","com.ipwa.kp.e2e.webtesting.TeacherTest","editTeacherName","editTeacherName()",""
"passed","Tue May 21 13:24:22 EEST 2024","Tue May 21 13:24:22 EEST 2024","232","","com.ipwa.kp.e2e.webtesting.TeacherTest","","com.ipwa.kp.e2e.webtesting.TeacherTest","loginAsTeacher","loginAsTeacher()",""
"passed","Tue May 21 13:26:33 EEST 2024","Tue May 21 13:26:33 EEST 2024","123","","com.ipwa.kp.api.CompanyControllerTest","","com.ipwa.kp.api.CompanyControllerTest","getCompanyByNonExistentIdNotFound404","getCompanyByNonExistentIdNotFound404()",""
"passed","Tue May 21 13:24:40 EEST 2024","Tue May 21 13:24:40 EEST 2024","539","","com.ipwa.kp.e2e.webtesting.CompanyTest","","com.ipwa.kp.e2e.webtesting.CompanyTest","createPost","createPost()",""
"passed","Tue May 21 13:23:59 EEST 2024","Tue May 21 13:23:59 EEST 2024","27","","com.ipwa.kp.e2e.webtesting.StudentTest","","com.ipwa.kp.e2e.webtesting.StudentTest","openWebPage","openWebPage()",""
"passed","Tue May 21 13:24:39 EEST 2024","Tue May 21 13:24:39 EEST 2024","822","","com.ipwa.kp.e2e.webtesting.CompanyTest","","com.ipwa.kp.e2e.webtesting.CompanyTest","logIn","logIn()",""
"passed","Tue May 21 13:24:31 EEST 2024","Tue May 21 13:24:31 EEST 2024","59","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","openTeacherProfileManagement","openTeacherProfileManagement()",""
"passed","Tue May 21 13:25:17 EEST 2024","Tue May 21 13:25:17 EEST 2024","125","","com.ipwa.kp.api.StudentControllerTest","","com.ipwa.kp.api.StudentControllerTest","deleteStudentByIdStatusOk","deleteStudentByIdStatusOk()",""
"passed","Tue May 21 13:24:40 EEST 2024","Tue May 21 13:24:41 EEST 2024","659","","com.ipwa.kp.e2e.webtesting.CompanyTest","","com.ipwa.kp.e2e.webtesting.CompanyTest","updateCompanyProfile","updateCompanyProfile()",""
"passed","Tue May 21 13:25:03 EEST 2024","Tue May 21 13:25:03 EEST 2024","154","","com.ipwa.kp.api.TeacherControllerTest","","com.ipwa.kp.api.TeacherControllerTest","updateTeacherFirstName","updateTeacherFirstName()",""
"passed","Tue May 21 13:24:31 EEST 2024","Tue May 21 13:24:31 EEST 2024","191","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","","com.ipwa.kp.e2e.webtesting.CoordinatorTest","openStudentProfileManagement","openStudentProfileManagement()",""
"passed","Tue May 21 13:26:30 EEST 2024","Tue May 21 13:26:32 EEST 2024","2105","","com.ipwa.kp.api.CompanyControllerTest","","com.ipwa.kp.api.CompanyControllerTest","getAllCompanies","getAllCompanies()",""
"passed","Tue May 21 13:23:50 EEST 2024","Tue May 21 13:23:51 EEST 2024","974","","com.ipwa.kp.e2e.webtesting.LoginTest","","com.ipwa.kp.e2e.webtesting.LoginTest","loginAsStudentThenLogOut","loginAsStudentThenLogOut()",""
